self_employed,num_employees,tech_company,role,mental_health_benefits,knowledge_of_mental_healthcare_coverage,employer_discussed_mental_health,employer_offer_resources,anonymity_protected,asking_for_leave,discuss_mental_health_disorder_with_employer,believe_negative_consequences_of_employer_discussion,discuss_mental_health_disorder_with_coworkers,discuss_mental_health_disorder_with_supervisor,employer_mental_health_serious,negative_consequences_at_work,medical_coverage,know_of_resources_for_help,reveal_diagnosis_with_collegues,negative_impact_of_revealing_diagnosis,productivity_affected_mental_health,percentage_work_time_affected,discuss_physical_health_potential_employer,discuss_mental_health_potential_employer,hurt_career,believe_negative_view_from_collegues,share_with_friends_family,bad_response_to_mental_health_at_work,family_history,had_disorder_in_past,have_disorder,been_diagnosed,sought_treatment,interferes_with_work_if_treated_effectively,age,gender,work_remotely
0,100-500,1,,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",No,No,Maybe,No,0,Never,29,male,Never
0,100-500,1,,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,,,,,,,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Maybe,Yes,1,Rarely,29,male,Sometimes
0,More than 1000,1,,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,,,,,,,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",I don't know,No,No,No,0,Not applicable to me,44,Male,Always
1,,,,,,,,,,,,,,,,1,I know some,"No, because it doesn't matter",Yes,Yes,26-50%,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,No,0,Rarely,34,Male,Sometimes
0,100-500,1,,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,,,,,,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,No,1,Rarely,40,male,Always
0,More than 1000,1,,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,,,,,,,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,No,1,Often,46,Female assigned at birth ,Never
1,,,,,,,,,,,,,,,,1,I know some,"No, because it would impact me negatively",I'm not sure,Yes,51-75%,Yes,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,No,1,Sometimes,28,M,Sometimes
0,More than 1000,0,1,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,41,Male,Never
0,6-25,1,,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,33,male,Sometimes
1,,,,,,,,,,,,,,,,1,I know some,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,Yes,Maybe,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,32,Male,Sometimes
0,6-25,1,,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,,,,,,,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,45,Male,Sometimes
1,,,,,,,,,,,,,,,,0,I know some,"No, because it doesn't matter",N/A,Yes,26-50%,Yes,Yes,"No, I don't think it would",Maybe,Neutral,Maybe/Not sure,Yes,Yes,Maybe,Yes,1,Not applicable to me,43,male,Sometimes
0,6-25,1,,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,,,,,,,No,No,Maybe,Maybe,Somewhat open,No,No,Maybe,Yes,Yes,1,Often,37,F,Always
0,26-100,1,,No,N/A,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,,,,,,,No,No,"Yes, it has",Maybe,Neutral,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Sometimes,37,M,Never
0,6-25,1,,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,27,Male,Sometimes
1,,,,,,,,,,,,,,,,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,No,No,No,No,0,Not applicable to me,31,Male,Sometimes
0,More than 1000,1,,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,,,,,,,Maybe,No,Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Never,36,Male,Sometimes
0,500-1000,0,1,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,No,Maybe,Maybe,Yes,1,Rarely,34,Male,Always
0,More than 1000,0,0,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,No,No,Maybe,"No, I don't think they would",Somewhat not open,No,No,No,No,No,0,Not applicable to me,31,Woman,Sometimes
0,26-100,1,,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Maybe,Maybe,Yes,1,Rarely,30,Male,Never
0,100-500,0,1,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,,,,,,,Yes,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Yes,Maybe,Maybe,No,0,Sometimes,32,Male,Never
0,6-25,0,1,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No,,,,,,,Maybe,No,"No, I don't think it would",Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,40,female,Sometimes
0,100-500,0,1,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,,,,,,,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,40,Male,Sometimes
0,More than 1000,1,,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No,,,,,,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,No,Maybe,No,0,Sometimes,41,man,Sometimes
0,26-100,0,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No,,,,,,,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Maybe,Yes,1,Rarely,27,Male,Never
0,26-100,1,,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,,,,,,,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,30,Male,Sometimes
1,,,,,,,,,,,,,,,,0,I know some,Not applicable to me,N/A,Not applicable to me,,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",I don't know,Maybe,Maybe,No,0,Not applicable to me,29,Male,Always
1,,,,,,,,,,,,,,,,0,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,,No,No,Maybe,Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,38,Male,Sometimes
1,,,,,,,,,,,,,,,,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,,No,No,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,No,No,No,No,0,Not applicable to me,35,male,Sometimes
0,6-25,0,0,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,,,,,,,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,35,female,Never
0,More than 1000,1,,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,,,,,,,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Often,29,M,Always
0,100-500,1,,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,,,,,,,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,Yes,Maybe,No,No,0,Not applicable to me,28,Male,Never
0,26-100,0,1,No,Yes,No,I don't know,Yes,Very easy,No,No,No,Yes,Yes,No,,,,,,,No,No,Maybe,"Yes, I think they would",Very open,No,I don't know,Yes,Maybe,Yes,1,Rarely,27,Male,Sometimes
1,,,,,,,,,,,,,,,,0,I know some,Not applicable to me,N/A,No,,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,Yes,No,No,1,Not applicable to me,39,Male,Sometimes
0,100-500,1,,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,,,,,,,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,28,male,Sometimes
0,6-25,0,1,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Yes,No,No,No,0,Not applicable to me,46,Male,Sometimes
0,1-5,1,,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,,,,,,,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,No,Yes,No,Yes,1,Not applicable to me,40,male,Sometimes
0,26-100,1,,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,37,Male,Always
0,26-100,1,,No,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,Yes,No,No,No,0,Not applicable to me,41,Male,Sometimes
1,,,,,,,,,,,,,,,,0,I know some,"No, because it would impact me negatively",Yes,Unsure,,No,No,"No, I don't think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,No,0,Not applicable to me,19,M,Never
0,6-25,1,,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,No,,,,,,,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,38,F,Never
0,26-100,1,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,,,,,,,Yes,No,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,33,Male ,Sometimes
0,26-100,1,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Rarely,33,Male,Always
0,1-5,1,,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,,,,,,,No,No,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,21,male,Never
0,1-5,1,,No,No,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,Yes,,,,,,,No,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,No,0,Often,36,Male,Never
1,,,,,,,,,,,,,,,,0,I know some,"No, because it would impact me negatively",N/A,Yes,1-25%,Maybe,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Never,39,Male,Sometimes
0,26-100,1,,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,,,,,,,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,35,Male,Sometimes
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",No,Unsure,,No,No,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,36,male,Sometimes
0,6-25,1,,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,,,,,,,Maybe,Yes,Maybe,Maybe,Somewhat not open,"Yes, I experienced",No,Maybe,Maybe,No,0,Not applicable to me,45,Male,Never
0,26-100,1,,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,,,,,,,Yes,No,"Yes, I think it would",Maybe,Somewhat open,No,No,Maybe,Maybe,No,0,Not applicable to me,41,Male,Never
0,26-100,1,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,,,,,,,Maybe,Maybe,"Yes, it has","Yes, they do",Neutral,"Yes, I experienced",I don't know,Yes,Yes,Yes,1,Sometimes,35,Male,Sometimes
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",No,Yes,26-50%,Yes,Maybe,"No, I don't think it would","No, they do not",Somewhat open,No,I don't know,Maybe,Maybe,Yes,1,Sometimes,30,Male,Sometimes
0,26-100,1,,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,,,,,,,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Sometimes,24,Female,Sometimes
0,100-500,0,1,No,N/A,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,,,,,,,Maybe,No,Maybe,Maybe,Somewhat open,N/A,I don't know,Yes,No,Yes,1,Never,33,Male,Never
0,More than 1000,1,,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Yes,Yes,Maybe,Yes,1,Rarely,35,male,Sometimes
0,6-25,1,,No,N/A,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,,,,,,,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,No,0,Rarely,26,Male,Sometimes
0,6-25,1,,No,N/A,No,No,I don't know,Somewhat difficult,Yes,No,No,Yes,No,Yes,,,,,,,Yes,Yes,Maybe,"Yes, I think they would",Not open at all,"Yes, I observed",No,No,No,No,0,Never,17,male,Always
0,6-25,0,1,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,,,,,,,Maybe,Maybe,Maybe,Maybe,Somewhat open,N/A,No,Yes,Yes,Yes,1,Sometimes,29,Female,Sometimes
0,100-500,1,,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,,,,,,,Yes,No,"No, I don't think it would",Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,26,Male,Sometimes
0,26-100,1,,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,0,Not applicable to me,36,female,Always
0,26-100,1,,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No,No,No,Yes,No,,,,,,,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,I don't know,No,No,No,0,Not applicable to me,46,M,Sometimes
1,,,,,,,,,,,,,,,,1,"Yes, I know several","No, because it doesn't matter",I'm not sure,Unsure,,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,No,0,Not applicable to me,39,Male,Sometimes
0,100-500,1,,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,,,,,,,No,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,28,Female,Sometimes
0,500-1000,1,,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),N/A,No,No,No,No,0,Not applicable to me,40,Male,Sometimes
0,100-500,1,,I don't know,No,No,No,I don't know,I don't know,Yes,No,Maybe,Yes,No,No,,,,,,,Maybe,No,"Yes, I think it would",Maybe,Very open,No,I don't know,Yes,Yes,Yes,1,Often,23,Male,Sometimes
0,6-25,1,,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,,,,,,,Yes,Yes,Maybe,Maybe,Somewhat open,No,Yes,No,No,No,0,Not applicable to me,30,Male,Sometimes
0,26-100,1,,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Maybe,No,No,0,Not applicable to me,28,fm,Sometimes
0,26-100,1,,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,Yes,,,,,,,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Maybe,Maybe,No,0,Not applicable to me,27,Male,Never
